Source,WORD,AoA (Yrs),AoA (100-700),IMG,FAM,Length (Letters),,,,,,,,,
BN,adapt,8,480,225,523,5,,,,,,,,,
GL,adder,0,361,583,361,5,,,,,,,,,
BN,addict,8.6,532,430,509,6,,,,,,,,,
GL,addition,0,535,347,535,8,,,,,,,,,
BN,address,5.5,299,399,628,7,,,,,,,,,
GL,adherence,0,375,326,375,9,,,,,,,,,
GL,adjournment,0,327,305,327,11,,,,,,,,,
BN,adjust,8.1,495,275,513,6,,,,,,,,,
GL,administration,0,502,413,502,14,,,,,,,,,
GL,admission,0,482,389,482,9,,,,,,,,,
GL,adolescence,0,444,467,444,11,,,,,,,,,
BN,adopt,6.9,415,274,453,5,,,,,,,,,
GL,adultery,0,456,494,456,8,,,,,,,,,
GL,adventurer,0,402,497,402,10,,,,,,,,,
BN,adverse,10,607,174,459,7,,,,,,,,,
GL,advice,0,566,352,566,6,,,,,,,,,
GL,aerial,0,481,567,481,6,,,,,,,,,
BN,afar,7.5,452,250,430,4,,,,,,,,,
BN,affect,7.5,442,100,597,6,,,,,,,,,
GL,affection,0,513,484,513,9,,,,,,,,,
GL,affirmation,0,332,313,332,11,,,,,,,,,
BN,afford,7.5,452,274,639,6,,,,,,,,,
GL,affright,0,219,232,219,8,,,,,,,,,
GL,afternoon,0,655,513,655,9,,,,,,,,,
GL,age,0,582,468,582,3,,,,,,,,,
GL,agency,0,420,366,420,6,,,,,,,,,
BN,agent,7.7,466,405,452,5,,,,,,,,,
GL,aggressor,0,359,383,359,9,,,,,,,,,
GL,agony,0,509,491,509,5,,,,,,,,,
GL,ague,0,196,224,196,4,,,,,,,,,
BN,aide,9.1,553,250,394,4,,,,,,,,,
GL,aim,0,549,383,549,3,,,,,,,,,
BN,airport,5,252,650,503,7,,,,,,,,,
GL,airship,0,332,545,332,7,,,,,,,,,
BN,aisle,7,407,530,478,5,,,,,,,,,
GL,alacrity,0,245,189,245,8,,,,,,,,,
GL,albatross,0,309,583,309,9,,,,,,,,,
GL,alchemist,0,262,394,262,9,,,,,,,,,
GL,algae,0,317,424,317,5,,,,,,,,,
GL,alias,0,384,294,384,5,,,,,,,,,
BN,alive,5.1,283,295,531,5,,,,,,,,,
GL,alkali,0,391,432,391,6,,,,,,,,,
GL,allegation,0,383,291,383,10,,,,,,,,,
GL,allegory,0,314,244,314,8,,,,,,,,,
GL,allotment,0,420,470,420,9,,,,,,,,,
BN,allow,5.5,305,170,586,5,,,,,,,,,
GL,ally,0,410,453,410,4,,,,,,,,,
BN,aloft,10.1,619,285,393,5,,,,,,,,,
BN,aloud,6,353,288,514,5,,,,,,,,,
GL,alphabet,0,493,499,493,8,,,,,,,,,
BN,altar,6.8,407,575,450,5,,,,,,,,,
BN,alter,6.7,394,238,477,5,,,,,,,,,
GL,altitude,0,420,472,420,8,,,,,,,,,
GL,aluminium,0,453,505,453,9,,,,,,,,,
GL,amateur,0,502,397,502,7,,,,,,,,,
BN,amber,8.1,495,490,449,5,,,,,,,,,
GL,ambition,0,517,346,517,8,,,,,,,,,
GL,amendment,0,403,305,403,9,,,,,,,,,
GL,amethyst,0,285,510,285,8,,,,,,,,,
GL,amity,0,200,205,200,5,,,,,,,,,
BN,amongst,6.8,406,235,539,7,,,,,,,,,
GL,amount,0,583,316,583,6,,,,,,,,,
GL,amplitude,0,374,389,374,9,,,,,,,,,
BN,amuse,7.2,422,255,531,5,,,,,,,,,
GL,analogy,0,417,267,417,7,,,,,,,,,
BN,anchor,6.5,387,620,436,6,,,,,,,,,
BN,ancient,7.1,430,409,503,7,,,,,,,,,
GL,anecdote,0,388,357,388,8,,,,,,,,,
GL,angel,0,470,554,470,5,,,,,,,,,
BN,angry,4.5,247,440,592,5,,,,,,,,,
BN,anguish,8.7,533,184,431,7,,,,,,,,,
GL,animal,0,620,575,620,6,,,,,,,,,
GL,ankle,0,543,613,543,5,,,,,,,,,
GL,annex,0,390,435,390,5,,,,,,,,,
GL,announcement,0,519,381,519,12,,,,,,,,,
BN,annual,7.4,438,232,469,6,,,,,,,,,
GL,answer,0,605,368,605,6,,,,,,,,,
GL,antagonism,0,417,378,417,10,,,,,,,,,
GL,anteroom,0,241,375,241,8,,,,,,,,,
BN,anthem,8.6,516,330,456,6,,,,,,,,,
GL,anticipation,0,492,435,492,12,,,,,,,,,
GL,antique,0,484,549,484,7,,,,,,,,,
BN,anxious,8.2,488,305,521,7,,,,,,,,,
GL,anybody,0,591,329,591,7,,,,,,,,,
GL,apartment,0,491,556,491,9,,,,,,,,,
GL,aperture,0,356,424,356,8,,,,,,,,,
BN,apex,11.8,700,226,380,4,,,,,,,,,
GL,apology,0,510,400,510,7,,,,,,,,,
GL,appeal,0,514,402,514,6,,,,,,,,,
BN,appear,5.7,335,307,542,6,,,,,,,,,
GL,apple,0,598,637,598,5,,,,,,,,,
GL,appointment,0,541,386,541,11,,,,,,,,,
GL,approach,0,508,329,508,8,,,,,,,,,
GL,approval,0,526,375,526,8,,,,,,,,,
BN,approve,7.1,415,215,520,7,,,,,,,,,
GL,apricot,0,428,591,428,7,,,,,,,,,
BN,apron,5,261,541,436,5,,,,,,,,,
GL,arbiter,0,238,257,238,7,,,,,,,,,
BN,arch,6.5,351,604,463,4,,,,,,,,,
GL,arch,0,483,557,483,4,,,,,,,,,
BN,archer,7.7,459,522,400,6,,,,,,,,,
GL,archery,0,351,550,351,7,,,,,,,,,
GL,area,0,560,394,560,4,,,,,,,,,
BN,argue,5,291,395,584,5,,,,,,,,,
BN,arise,8.4,517,255,464,5,,,,,,,,,
GL,aristocracy,0,401,470,401,11,,,,,,,,,
GL,arm,0,608,593,608,3,,,,,,,,,
GL,armour,0,406,536,406,6,,,,,,,,,
GL,army,0,555,578,555,4,,,,,,,,,
BN,arouse,10.4,658,317,468,6,,,,,,,,,
GL,arrangement,0,525,316,525,11,,,,,,,,,
BN,arrest,6.5,374,473,479,6,,,,,,,,,
GL,arrival,0,548,419,548,7,,,,,,,,,
BN,arrive,5.1,291,274,607,6,,,,,,,,,
BN,arrow,5.7,317,463,462,5,,,,,,,,,
GL,article,0,533,421,533,7,,,,,,,,,
GL,artifice,0,252,240,252,8,,,,,,,,,
BN,artist,5.3,283,538,488,6,,,,,,,,,
GL,asbestos,0,427,513,427,8,,,,,,,,,
BN,ascent,9.1,570,265,395,6,,,,,,,,,
GL,ash,0,494,553,494,3,,,,,,,,,
BN,ashore,8,477,317,431,6,,,,,,,,,
BN,askew,10.1,638,129,408,5,,,,,,,,,
GL,aspect,0,482,233,482,6,,,,,,,,,
GL,assemble,0,482,413,482,8,,,,,,,,,-
GL,assent,0,325,345,325,6,,,,,,,,,
BN,assist,7.5,433,258,508,6,,,,,,,,,
GL,assistance,0,534,348,534,10,,,,,,,,,
GL,assortment,0,492,367,492,10,,,,,,,,,
BN,assure,8.6,527,230,501,6,,,,,,,,,
GL,aster,0,205,224,205,5,,,,,,,,,
BN,asthma,7.9,473,405,505,6,,,,,,,,,
GL,astrolabe,0,126,150,126,9,,,,,,,,,
GL,astronomy,0,391,483,391,9,,,,,,,,,
GL,athlete,0,482,591,482,7,,,,,,,,,
GL,atmosphere,0,540,444,540,10,,,,,,,,,
BN,atom,10.7,692,390,428,4,,,,,,,,,
GL,atrocity,0,371,404,371,8,,,,,,,,,
GL,attempt,0,558,302,558,7,,,,,,,,,
GL,attitude,0,553,321,553,8,,,,,,,,,
BN,attract,6.6,373,226,565,7,,,,,,,,,
BN,auction,8.7,532,455,422,7,,,,,,,,,
GL,audience,0,511,555,511,8,,,,,,,,,
GL,audit,0,326,253,326,5,,,,,,,,,
BN,august,4.5,245,385,527,6,,,,,,,,,
GL,aunt,0,554,567,554,4,,,,,,,,,
GL,aurora,0,254,345,254,6,,,,,,,,,
GL,author,0,554,460,554,6,,,,,,,,,
GL,automobile,0,456,628,456,10,,,,,,,,,
GL,autumn,0,533,622,533,6,,,,,,,,,
BN,avenge,9.3,570,225,418,6,,,,,,,,,
GL,avenue,0,529,564,529,6,,,,,,,,,
GL,aviator,0,272,445,272,7,,,,,,,,,
GL,avowal,0,215,208,215,6,,,,,,,,,
BN,await,7.9,495,260,465,5,,,,,,,,,
BN,aware,7.3,437,190,562,5,,,,,,,,,
BN,away,4.4,218,205,642,4,,,,,,,,,
BN,awesome,7.7,466,260,510,7,,,,,,,,,
BN,awkward,7.6,460,265,558,7,,,,,,,,,
GL,axe,0,461,597,461,3,,,,,,,,,
BN,axle,9.2,567,395,391,4,,,,,,,,,
GL,babe,0,370,562,370,4,,,,,,,,,
GL,back,0,587,483,587,4,,,,,,,,,
GL,background,0,540,427,540,10,,,,,,,,,
BN,bacon,4.6,252,650,553,5,,,,,,,,,
BN,badge,4.8,268,481,473,5,,,,,,,,,
GL,bag,0,634,570,634,3,,,,,,,,,
BN,baggage,6.8,393,602,490,7,,,,,,,,,
GL,bagpipe,0,397,594,397,7,,,,,,,,,
BN,bail,8.5,512,251,437,4,,,,,,,,,
BN,bait,7.3,430,395,422,4,,,,,,,,,
BN,bake,5.5,313,481,517,4,,,,,,,,,
GL,balance,0,545,429,545,7,,,,,,,,,
BN,bald,5.6,310,547,472,4,,,,,,,,,
GL,ball,0,575,622,575,4,,,,,,,,,
GL,ballot,0,453,437,453,6,,,,,,,,,
BN,bamboo,6.8,376,552,419,6,,,,,,,,,
GL,band,0,555,579,555,4,,,,,,,,,
BN,banger,6.4,380,331,425,6,,,,,,,,,
GL,banker,0,524,565,524,6,,,,,,,,,
BN,banner,6.4,368,548,480,6,,,,,,,,,
GL,barb,0,302,448,302,4,,,,,,,,,
BN,barely,6.7,393,261,562,6,,,,,,,,,
GL,bargain,0,552,505,552,7,,,,,,,,,
BN,bark,4.8,261,540,492,4,,,,,,,,,
GL,barn,0,466,589,466,4,,,,,,,,,
GL,baron,0,339,498,339,5,,,,,,,,,
BN,baroque,10.9,667,243,375,7,,,,,,,,,
BN,barrage,9.1,551,331,398,7,,,,,,,,,
GL,barrel,0,487,602,487,6,,,,,,,,,
GL,base,0,520,436,520,4,,,,,,,,,
GL,basin,0,504,542,504,5,,,,,,,,,
BN,bass,8,493,429,454,4,,,,,,,,,
BN,bastard,9.3,560,305,611,7,,,,,,,,,
BN,bath,3.6,200,664,587,4,,,,,,,,,
GL,bath,0,599,601,599,4,,,,,,,,,
GL,bay,0,474,570,474,3,,,,,,,,,
GL,bayonet,0,293,548,293,7,,,,,,,,,
BN,beach,4.4,232,660,541,5,,,,,,,,,
BN,beagle,9.9,594,362,398,6,,,,,,,,,
BN,beak,5.2,263,579,450,4,,,,,,,,,
BN,beaker,5.2,298,570,449,6,,,,,,,,,
GL,beam,0,476,539,476,4,,,,,,,,,
BN,beard,4.9,260,631,480,5,,,,,,,,,
GL,beast,0,456,558,456,5,,,,,,,,,
GL,beau,0,242,394,242,4,,,,,,,,,
GL,beauty,0,561,513,561,6,,,,,,,,,
BN,become,5.8,331,105,614,6,,,,,,,,,
GL,bed,0,636,635,636,3,,,,,,,,,
GL,bedroom,0,646,629,646,7,,,,,,,,,
BN,beech,7.7,459,430,414,5,,,,,,,,,
BN,beef,5.1,276,625,551,4,,,,,,,,,
GL,beehive,0,398,572,398,7,,,,,,,,,
BN,beer,6.5,361,627,642,4,,,,,,,,,
BN,befall,10.1,640,190,392,6,,,,,,,,,
GL,beggar,0,435,593,435,6,,,,,,,,,
GL,beginning,0,593,359,593,9,,,,,,,,,
BN,behalf,8.1,493,174,486,6,,,,,,,,,
GL,behaviour,0,573,351,573,9,,,,,,,,,
BN,behind,4.4,243,384,603,6,,,,,,,,,
GL,being,0,568,323,568,5,,,,,,,,,
GL,belief,0,554,328,554,6,,,,,,,,,
BN,bell,4.5,241,566,495,4,,,,,,,,,
BN,belly,4.9,255,590,529,5,,,,,,,,,
GL,beloved,0,406,456,406,7,,,,,,,,,
BN,belt,4.9,268,585,577,4,,,,,,,,,
GL,bench,0,488,555,488,5,,,,,,,,,
BN,bend,4.7,252,468,546,4,,,,,,,,,
GL,benefactor,0,356,345,356,10,,,,,,,,,
BN,bent,5.2,299,371,533,4,,,,,,,,,
GL,benzene,0,318,418,318,7,,,,,,,,,
GL,bequest,0,316,294,316,7,,,,,,,,,
GL,berry,0,470,551,470,5,,,,,,,,,
GL,besieger,0,255,335,255,8,,,,,,,,,
GL,bet,0,527,453,527,3,,,,,,,,,
GL,betrayal,0,392,358,392,8,,,,,,,,,
GL,betterment,0,293,310,293,10,,,,,,,,,
BN,beware,6.1,349,290,503,6,,,,,,,,,
GL,bewilderment,0,421,407,421,12,,,,,,,,,
GL,bid,0,473,394,473,3,,,,,,,,,
BN,bike,4,199,649,591,4,,,,,,,,,-
GL,bill,0,552,535,552,4,,,,,,,,,
BN,billion,7.1,428,317,506,7,,,,,,,,,
GL,bin,0,580,562,580,3,,,,,,,,,
GL,bird,0,592,614,592,4,,,,,,,,,
GL,birth,0,527,532,527,5,,,,,,,,,
BN,bishop,6.9,415,585,402,6,,,,,,,,,
BN,bitch,8.5,518,352,580,5,,,,,,,,,
GL,bite,0,593,553,593,4,,,,,,,,,
BN,bitter,6.7,400,404,530,6,,,,,,,,,
GL,bitterness,0,430,378,430,10,,,,,,,,,
BN,bizarre,8.8,546,263,520,7,,,,,,,,,
GL,blade,0,517,568,517,5,,,,,,,,,
BN,blame,5.6,309,352,559,5,,,,,,,,,
GL,blame,0,541,356,541,5,,,,,,,,,
BN,bland,8.2,487,256,478,5,,,,,,,,,
BN,blank,6.2,354,384,537,5,,,,,,,,,
GL,blanket,0,563,582,563,7,,,,,,,,,
BN,blast,5.8,335,445,468,5,,,,,,,,,
BN,blaze,7.1,414,481,456,5,,,,,,,,,
BN,blazer,7.8,470,499,445,6,,,,,,,,,
BN,bleak,8.2,502,395,432,5,,,,,,,,,
BN,blend,6.4,367,315,501,5,,,,,,,,,
BN,bless,6.1,366,299,503,5,,,,,,,,,
GL,blessing,0,483,422,483,8,,,,,,,,,
BN,blew,6.2,361,327,494,4,,,,,,,,,
BN,blind,5.2,275,396,495,5,,,,,,,,,
BN,bliss,8.2,507,377,489,5,,,,,,,,,
GL,block,0,544,483,544,5,,,,,,,,,
BN,bloke,8,459,571,617,5,,,,,,,,,
BN,blond,5.6,303,579,606,5,,,,,,,,,
BN,blonde,5.3,289,632,606,6,,,,,,,,,
GL,blood,0,571,620,571,5,,,,,,,,,
BN,bloody,6,342,540,546,6,,,,,,,,,
GL,bloom,0,426,524,426,5,,,,,,,,,
BN,blouse,5.6,313,605,468,6,,,,,,,,,
BN,blow,4.9,259,399,536,4,,,,,,,,,
BN,blown,5.6,308,343,535,5,,,,,,,,,
GL,bluebell,0,416,605,416,8,,,,,,,,,
BN,bluff,8,493,217,462,5,,,,,,,,,
BN,blunder,9.3,587,274,413,7,,,,,,,,,
BN,blunt,6.3,393,395,502,5,,,,,,,,,
GL,blush,0,535,551,535,5,,,,,,,,,
BN,board,5.6,299,442,529,5,,,,,,,,,
GL,boast,0,491,416,491,5,,,,,,,,,
GL,boatswain,0,230,343,230,9,,,,,,,,,
GL,body,0,610,614,610,4,,,,,,,,,
BN,boiler,6.9,407,530,504,6,,,,,,,,,
BN,bold,6.5,387,384,493,4,,,,,,,,,
GL,bolt,0,466,551,466,4,,,,,,,,,
BN,bomber,8.3,523,455,435,6,,,,,,,,,
GL,bond,0,454,380,454,4,,,,,,,,,
BN,bondage,11.2,675,473,442,7,,,,,,,,,
BN,bone,4.8,261,625,525,4,,,,,,,,,
BN,bonus,7.7,459,325,523,5,,,,,,,,,
GL,book,0,643,591,643,4,,,,,,,,,
BN,boom,5.5,315,449,465,4,,,,,,,,,
BN,boost,7.1,406,278,469,5,,,,,,,,,
GL,boot,0,566,604,566,4,,,,,,,,,
GL,booth,0,444,486,444,5,,,,,,,,,
GL,border,0,489,453,489,6,,,,,,,,,
BN,bore,7.2,428,214,473,4,,,,,,,,,
BN,boredom,6.5,386,305,562,7,,,,,,,,,
BN,boring,5.1,275,293,641,6,,,,,,,,,
BN,born,4.6,245,427,532,4,,,,,,,,,
BN,borne,9.8,631,191,413,5,,,,,,,,,
GL,bosom,0,425,593,425,5,,,,,,,,,
BN,boss,6.6,380,468,527,4,,,,,,,,,
GL,bother,0,583,369,583,6,,,,,,,,,
BN,bottom,4.4,227,505,608,6,,,,,,,,,
BN,bought,5.3,283,283,630,6,,,,,,,,,
BN,bounce,4.8,266,481,508,6,,,,,,,,,
BN,bouncy,4.9,261,475,494,6,,,,,,,,,
BN,bound,7.3,433,282,476,5,,,,,,,,,
GL,boundary,0,481,435,481,8,,,,,,,,,
BN,bout,10.6,665,195,412,4,,,,,,,,,
GL,bow,0,489,546,489,3,,,,,,,,,
BN,bowel,8.8,538,396,434,5,,,,,,,,,
GL,bowl,0,557,579,557,4,,,,,,,,,
GL,box,0,599,591,599,3,,,,,,,,,
BN,boxing,6.2,342,630,472,6,,,,,,,,,
BN,boycott,10,600,235,434,7,,,,,,,,,
BN,bracket,7.7,480,435,469,7,,,,,,,,,
GL,brain,0,580,572,580,5,,,,,,,,,
GL,branch,0,529,548,529,6,,,,,,,,,
BN,brand,7.8,477,260,534,5,,,,,,,,,
GL,brass,0,469,524,469,5,,,,,,,,,
BN,brave,4.6,241,329,517,5,,,,,,,,,
GL,brawl,0,418,485,418,5,,,,,,,,,
BN,brazen,10.8,683,269,395,6,,,,,,,,,
BN,brazier,10.3,623,196,379,7,,,,,,,,,
BN,breach,9.5,590,238,421,6,,,,,,,,,
BN,bread,3.5,183,650,636,5,,,,,,,,,
GL,breakfast,0,657,586,657,9,,,,,,,,,
BN,breast,9.7,428,590,555,6,,,,,,,,,
GL,breath,0,572,480,572,6,,,,,,,,,
GL,breeze,0,511,560,511,6,,,,,,,,,
BN,brewer,7,570,396,411,6,,,,,,,,,
BN,bribe,9.3,531,269,471,5,,,,,,,,,
GL,brick,0,529,574,529,5,,,,,,,,,
BN,bride,8.5,330,668,501,5,,,,,,,,,
GL,bridge,0,561,608,561,6,,,,,,,,,
GL,brigand,0,270,332,270,7,,,,,,,,,
GL,brim,0,430,510,430,4,,,,,,,,,
BN,brink,8.7,523,246,421,5,,,,,,,,,
BN,brisk,7.1,414,257,479,5,,,,,,,,,
GL,bristle,0,461,562,461,7,,,,,,,,,
BN,broad,7.6,439,315,514,5,,,,,,,,,
GL,brocade,0,298,416,298,7,,,,,,,,,
BN,broke,11.4,283,358,584,5,,,,,,,,,
BN,bronze,6.8,401,511,433,6,,,,,,,,,
GL,brook,0,384,597,384,5,,,,,,,,,
BN,broom,5.5,313,595,499,5,,,,,,,,,
GL,brother,0,598,589,598,7,,,,,,,,,
BN,brow,7.8,473,425,449,4,,,,,,,,,
GL,brownie,0,386,553,386,7,,,,,,,,,
GL,brush,0,579,570,579,5,,,,,,,,,
BN,brute,8.2,491,299,425,5,,,,,,,,,
GL,bubble,0,508,604,508,6,,,,,,,,,
BN,buck,8.5,524,425,392,4,,,,,,,,,
GL,bud,0,465,508,465,3,,,,,,,,,
GL,budget,0,517,394,517,6,,,,,,,,,
GL,buffer,0,402,459,402,6,,,,,,,,,
BN,build,4.4,240,400,562,5,,,,,,,,,
GL,building,0,607,578,607,8,,,,,,,,,
BN,bulb,5.5,293,611,510,4,,,,,,,,,
BN,bulge,7.5,444,475,460,5,,,,,,,,,
BN,bulk,7.2,407,372,459,4,,,,,,,,,
GL,bulldog,0,370,583,370,7,,,,,,,,,
BN,bullet,6.5,376,608,443,6,,,,,,,,,
BN,bumble,6.7,393,300,423,6,,,,,,,,,
BN,bump,4.2,221,446,495,4,,,,,,,,,
GL,bunch,0,503,486,503,5,,,,,,,,,
BN,bundle,5.8,333,459,476,6,,,,,,,,,
BN,bunk,5.5,303,341,440,4,,,,,,,,,
GL,burden,0,446,499,446,6,,,,,,,,,
GL,bureau,0,395,497,395,6,,,,,,,,,
BN,burglar,4.9,282,591,486,7,,,,,,,,,
GL,burial,0,400,544,400,6,,,,,,,,,
GL,burn,0,548,541,548,4,,,,,,,,,
BN,burner,7.1,433,403,433,6,,,,,,,,,
BN,burnt,5.4,310,463,543,5,,,,,,,,,
BN,burst,5.7,308,388,514,5,,,,,,,,,
BN,bury,5.3,282,402,488,4,,,,,,,,,
GL,bush,0,532,549,532,4,,,,,,,,,
GL,business,0,563,441,563,8,,,,,,,,,
BN,bust,7.1,422,430,482,4,,,,,,,,,
BN,busy,5.2,282,305,621,4,,,,,,,,,
BN,butch,9.6,600,433,456,5,,,,,,,,,
BN,butler,7.1,414,517,415,6,,,,,,,,,
BN,butt,7.6,466,510,492,4,,,,,,,,,
GL,butter,0,615,603,615,6,,,,,,,,,
GL,button,0,573,580,573,6,,,,,,,,,
GL,cabinet,0,472,524,472,7,,,,,,,,,
GL,cache,0,259,303,259,5,,,,,,,,,
BN,caddie,9,544,368,381,6,,,,,,,,,
BN,caddy,9.6,566,426,418,5,,,,,,,,,
GL,cage,0,487,585,487,4,,,,,,,,,
GL,cake,0,594,624,594,4,,,,,,,,,
BN,calcium,8.9,540,293,465,7,,,,,,,,,
GL,calculus,0,364,435,364,8,,,,,,,,,
BN,calf,5.7,331,559,454,4,,,,,,,,,
GL,call,0,599,424,599,4,,,,,,,,,
BN,calm,5.9,331,366,562,4,,,,,,,,,
GL,calmness,0,452,437,452,8,,,,,,,,,
BN,camel,5.5,315,648,426,5,,,,,,,,,
GL,camp,0,541,588,541,4,,,,,,,,,
BN,camper,7.1,426,482,424,6,,,,,,,,,
BN,campus,10.5,634,421,540,6,,,,,,,,,
GL,canal,0,464,588,464,5,,,,,,,,,
BN,cancer,8.3,500,429,527,6,,,,,,,,,
GL,candidate,0,488,452,488,9,,,,,,,,,
GL,candlelight,0,439,599,439,11,,,,,,,,,
BN,candy,4.3,236,575,447,5,,,,,,,,,
BN,cane,6.2,348,543,443,4,,,,,,,,,
BN,cannon,6.1,333,615,427,6,,,,,,,,,
GL,canoe,0,441,602,441,5,,,,,,,,,
GL,canteen,0,490,540,490,7,,,,,,,,,
BN,canyon,8.6,520,566,415,6,,,,,,,,,
BN,cape,5.7,319,520,428,4,,,,,,,,,
GL,capital,0,538,518,538,7,,,,,,,,,
GL,capitulate,0,311,262,311,10,,,,,,,,,
BN,captive,7.8,467,360,453,7,,,,,,,,,
BN,capture,6.4,366,338,464,7,,,,,,,,,
GL,car,0,634,638,634,3,,,,,,,,,
BN,carat,9.5,585,283,384,5,,,,,,,,,
GL,carbohydrate,0,461,461,461,12,,,,,,,,,
BN,carbon,10.3,656,390,443,6,,,,,,,,,
BN,card,4.6,245,576,562,4,,,,,,,,,
GL,career,0,589,418,589,6,,,,,,,,,
BN,careful,5.1,293,252,610,7,,,,,,,,,
GL,carnage,0,298,351,298,7,,,,,,,,,
BN,carol,5.3,289,372,422,5,,,,,,,,,
BN,carp,9.1,553,360,373,4,,,,,,,,,
GL,carriage,0,436,529,436,8,,,,,,,,,
BN,carry,4.7,248,341,586,5,,,,,,,,,
GL,cart,0,454,597,454,4,,,,,,,,,
GL,cartilage,0,396,421,396,9,,,,,,,,,
BN,carver,8.8,564,285,402,6,,,,,,,,,
GL,case,0,553,517,553,4,,,,,,,,,
BN,cash,6.1,342,575,666,4,,,,,,,,,
BN,cashier,7.3,435,493,514,7,,,,,,,,,
GL,casque,0,265,280,265,6,,,,,,,,,
GL,castor,0,365,429,365,6,,,,,,,,,
BN,casual,7.3,426,323,580,6,,,,,,,,,
GL,catastrophe,0,428,435,428,11,,,,,,,,,
BN,catch,6.8,256,425,561,5,,,,,,,,,
GL,catfish,0,416,544,416,7,,,,,,,,,
BN,cathode,12.1,700,400,371,7,,,,,,,,,
GL,cattle,0,511,619,511,6,,,,,,,,,
GL,cause,0,557,282,557,5,,,,,,,,,
BN,caution,7.2,426,269,513,7,,,,,,,,,
BN,cave,5.5,291,589,457,4,,,,,,,,,
GL,cavern,0,400,548,400,6,,,,,,,,,
BN,cease,9.1,562,214,449,5,,,,,,,,,
GL,cedar,0,381,516,381,5,,,,,,,,,
BN,ceiling,5.5,308,587,504,7,,,,,,,,,
BN,cell,8.1,500,469,503,4,,,,,,,,,
GL,cellar,0,467,572,467,6,,,,,,,,,
BN,cello,6.8,392,613,406,5,,,,,,,,,
BN,cement,6.6,393,525,473,6,,,,,,,,,
GL,cent,0,473,518,473,4,,,,,,,,,
GL,century,0,514,395,514,7,,,,,,,,,
BN,cereal,4.5,245,608,621,6,,,,,,,,,
GL,ceremony,0,501,523,501,8,,,,,,,,,
GL,certificate,0,488,529,488,11,,,,,,,,,
BN,cervix,11.5,700,465,404,6,,,,,,,,,
GL,chain,0,513,559,513,5,,,,,,,,,
BN,chalice,10.2,623,372,382,7,,,,,,,,,
BN,chalk,4.8,260,603,432,5,,,,,,,,,
GL,challenge,0,515,402,515,9,,,,,,,,,
GL,champion,0,507,508,507,8,,,,,,,,,
GL,channel,0,482,508,482,7,,,,,,,,,
BN,chaos,6.9,401,426,499,5,,,,,,,,,
GL,chapel,0,471,560,471,6,,,,,,,,,
GL,character,0,551,372,551,9,,,,,,,,,
BN,charge,6.5,366,257,583,6,,,,,,,,,
GL,charity,0,518,445,518,7,,,,,,,,,
GL,charm,0,514,455,514,5,,,,,,,,,
GL,chassis,0,327,386,327,7,,,,,,,,,
GL,chatterbox,0,439,516,439,10,,,,,,,,,
BN,cheap,5.6,322,311,631,5,,,,,,,,,
GL,cheek,0,533,561,533,5,,,,,,,,,
BN,cheer,5.4,305,365,520,5,,,,,,,,,
GL,cheese,0,588,592,588,6,,,,,,,,,
BN,cheque,7.9,463,559,565,6,,,,,,,,,
GL,cherry,0,514,582,514,6,,,,,,,,,
BN,chess,6.9,407,590,438,5,,,,,,,,,
BN,chest,5.6,302,551,509,5,,,,,,,,,
BN,chew,4.3,230,429,543,4,,,,,,,,,
